kìm giữ, trói buộc
gây lộn, gây sự
lầm, nhầm
chuyển dạ, trở dạ
mong ước, mơ ước
trét, bít
lăng nhục, sỉ nhục
ngoác, ngoạc
thòi, tòi
hỏng hóc, hỏng
áp giải, dẫn giải
bộc lộ, thổ lộ
trù, trù dập
cản ngăn, ngăn cản
lật lọng, tráo trở
bứt, vặt
ghê tởm, kinh tởm
quịt, quỵt
tiệt trừ, diệt trừ
phá sản, vỡ nợ
chựng, sựng
phụ trách, đảm trách
bo, boa
ăn, chén
vơ, vớ
giở mặt, lật lọng
thương, xót thương
tát, vả
viện, vin
chắn, chặn
giả mạo, mạo
quên béng, quên khuấy
dịt, rịt
ngốn ngấu, ngấu nghiến
tẩm bổ, bồi bổ
lẳng, quẳng
dao động, sờn
mơ ước, ước mong
cuốn, lôi cuốn
tu sửa, tu chỉnh
thờ ơ, hờ hững
quờ quạng, sờ soạng
khuỵ, quỵ
đẽo gọt, trau chuốt
chần chừ, đắn đo
đẽo gọt, gọt giũa
bỏ qua, cho qua
ngã, bổ
thẩm tra, kiểm tra
tụ hội, tụ họp
trụt, sụt
van lạy, van vái
tắc, nghẽn
xoi, xuyên
đánh cá, đánh cuộc
lủi, lỉnh
tịch, viên tịch
nói chuyện, chuyện trò
dao động, ngả nghiêng
đâm ra, sinh
cá cược, đánh cược
rối bù, rối mù
nhào, bổ nhào
vuốt ve, ve vuốt
ngoái, ngoảnh
chõ, chõ mồm
giao, trao
khám, khám xét
giải phẫu, phẫu thuật
nản chí, thoái chí
áp dụng, ứng dụng
bàn bạc, luận bàn
cải giá, tái giá
xỉa, xía
xuất gia, xuống tóc
bậm, bặm
tố giác, cáo giác
lơ là, sao lãng
buộc, bắt buộc
ăn năn, ân hận
cá cược, đánh cuộc
giận, dỗi
chần chừ, ngần ngừ
ngỏm, ngủm
xịch, xít
đợi, đợi chờ
bức hiếp, ức hiếp
dấp, xấp
đồn đãi, phao
dự, tham dự
tụ tập, tập hợp
nảy, phát sinh
mong đợi, trông mong
rũ, vỗ
chao đảo, nao núng
hạ nhục, lăng nhục
dây, dính dấp
phanh phui, vạch trần
thí điểm, thí nghiệm
hắt hơi, hắt xì hơi
vòng quanh, quanh co
cốc, củng
đong đưa, vung vẩy
phó thác, uỷ thác
tắt, đóng
rớ, rờ
ăn xin, hành khất
thờ ơ, hững hờ
tu sửa, sửa sang
lẩm bẩm, lẩm nhẩm
tập kết, tập trung
rơi, rớt
ganh, tị
phân bì, tị nạnh
phá bĩnh, phá đám
vô trùng, sát trùng
đền, thường
bồi bổ, bồi dưỡng
bít, bịt
chú thích, ghi chú
khiếp đảm, khiếp vía
kệ, mặc kệ
pha chế, điều chế
nuông, nuông chiều
nhập ngoại, nhập nội
đâm, hoá
hắng giọng, tằng hắng
phúng, phúng viếng
nhét, nhồi
chọn, lựa
ghìm, nén
rờ mó, sờ mó
ào, tràn
chuồn, lẻn
trông, trông nom
phá quấy, quậy phá
nổi giận, nổi nóng
phá quấy, quấy nhiễu
bóc trần, lột trần
kích động, khích động
kiềm chế, kềm chế
cắm đầu, chúi đầu
cản, ngăn
ngồi xổm, ngồi chồm hổm
rã, tan
vận chuyển, chuyển vận
chờ mong, mong chờ
xếp đặt, sắp đặt
chen, chêm
lỉnh, lỏn
hành hình, hành quyết
đố kỵ, ghen ghét
gởi gắm, gửi gắm
ngả nghiêng, thối chí
chia phôi, li biệt
thộp, chộp
lăng mạ, nhục mạ
ngoẻo, toi
nhũng nhiễu, sách nhiễu
phong, phong tặng
làm bộ, giả bộ
van, van xin
giội, trút
xa cách, xa rời
chế giễu, chế nhạo
cầu khẩn, khẩn cầu
thức giấc, tỉnh giấc
bắt thăm, bốc thăm
giả trang, hoá trang
cường điệu, thổi phồng
đầu hàng, hàng
ăn hiếp, bắt nạt
thương, yêu thương
chuyện trò, trò chuyện
khoan nhượng, nhân nhượng
tốn, mất
thiết nghĩ, thiết tưởng
ghìm, kìm
kí kết, ký kết
chứng thực, nhận thực
coi nhẹ, coi thường
lẳng, quăng
dạt, giạt
làm lơ, làm ngơ
tích góp, góp nhặt
giam cầm, giam giữ
động chạm, va chạm
am tường, thông hiểu
chà đạp, giày xéo
thọc, xọc
giam giữ, nhốt
doạ, đe
tinh chế, tinh luyện
lặt, lượm
lao, xốc
nhảy xổ, nhảy bổ
dạy bảo, khuyên bảo
truy lùng, săn lùng
chọc, thọc
đùa giỡn, nô giỡn
