dây, dọc
bằng cớ, chứng cớ
gông cùm, gông xiềng
nhân tài, tài năng
dạ hương, dạ lý hương
áo quan, quan tài
vô tỷ, số vô tỷ
cõi tục, trần gian
nhiệm kì, nhiệm kỳ
báng, bá
nội qui, nội quy
thiếu sót, khuyết điểm
trái đất, địa cầu
vú, tí
dầu hoả, dầu hôi
thuế khoá, thuế má
tàn dư, tàn tích
nam, trai
hạn, vận hạn
bồ bịch, tình nhân
mộ, mả
ven, vệ
thân xác, thể xác
tàu, tầu
cha mẹ, bố mẹ
chắn, barie
thi thể, thây
mầm, mống
tha ma, nghĩa trang
nhà giam, nhà đá, nhà tù, tù
tã, tã lót
đạo lí, đạo nghĩa
đảo, cù lao
người yêu, tình nhân
dầu hoả, dầu lửa
nhà giam, nhà lao
golf, gôn
đống, gò
đít, khu
tinh mơ, tinh sương
phong bì, bao thơ
cha nội, cha
đề án, dự án
duyên cớ, nguyên cớ
tí, tị
mạng, mệnh
hòm, quan tài
đầu tiên, trước hết
bá, già
nguyên lí, nguyên lý
bè, phe
mẹ, mế
gốc rễ, cội rễ
ổ, nhóm
cõi tục, dương gian
ngô, bắp
dấu vết, vết tích
khía cạnh, góc cạnh
nếp, lề thói
thuộc hạ, thủ túc
tục, trần
lí, thiên lý
công khố, công quỹ
lãnh vực, lĩnh vực
tép riu, nhãi nhép
hàng xóm, láng giềng
đồng la, phèng la
trạng thái, thể
thận, cật
cán, tông
phạm nhân, tội phạm
đồng phạm, tòng phạm
ngày nay, hiện tại
bát, chén
áo quần, quần áo
bầm, mạ
lượng, cây
dọc, hàng
ẩn ý, hàm ý
tuồng, bọn
tiết diện, thiết diện
trụ cột, cột trụ
tin, tin tức
thơ, thư
trăng gió, trăng hoa
cữ, lóng
bảo vật, báu vật
nhân gian, trần gian
danh tánh, danh tính
tí ti, tí chút
dịp, thời cơ
bè đảng, bè phái, đảng phái, phe phái
tí ti, tí teo
kỉ, kỷ
tù, phạm nhân
tuổi, giai đoạn
người yêu, người tình
gái điếm, kĩ nữ
đại lí, đại lý
mức, mực
thiên tính, thiên tư
mĩ thuật, mỹ thuật
nhất nguyên luận, thuyết nhất nguyên
chung cư, cư xá
kìm, kềm
tội phạm, tội nhân, phạm nhân, đồng phạm, đồng bọn
mức, ngữ
cơm cháo, trò trống
tộc người, sắc tộc
nhà giam, ngục tù
cõi tục, trần thế
học thức, học vấn
nhà buôn, thương nhân
đàn bà, phụ nữ
lối, đường
vô địch, quán quân
căm, tăm
đại hồi, hồi
thông gia, sui gia
đất nước, sông núi
bố, cha
nguyên do, nguyên cớ
chung cư, khu tập thể
thuộc tính, tính chất
chuồng xí, nhà cầu
lãnh thổ, cương vực
cõi dương, trần gian
thẩm mĩ, thẩm mỹ
chuẩn, chuẩn mực
cảnh vệ, vệ binh
tiên sư, tổ sư
tột bực, tột đỉnh
màng, váng
nhà thơ, thi sĩ
hát bộ, hát tuồng
chủ định, chủ ý
thìa, muỗng
giống nòi, nòi giống
bí danh, mật danh
điện báo, điện tín
dáng dấp, dáng vẻ
chấm, điểm
tròng, bẫy
hình dáng, hình trạng
dương gian, trần thế
linh hồn, vong hồn
hiệu, tiệm
tào phớ, tàu hũ
phong thấp, thấp khớp
trận mạc, chiến trận
khi, lúc
ký chủ, vật chủ
tai vạ, tai ương
bạn bè, bằng hữu
vận mệnh, vận số
ngọn ngành, nguồn cơn
cõi trần, dương gian
xấp, xếp
thợ xây, thợ hồ
chủ nghĩa nhân đạo, chủ nghĩa nhân văn
di chúc, chúc thư
đặc điểm, đặc trưng
màu, mầu
tiên nga, ngọc nữ
thuỷ đậu, trái rạ
phép, phép thuật
kĩ thuật, kỹ thuật
tên, gã
vầng, vừng
ảnh, hình
khoảng, độ
uy quyền, quyền uy
mẻ, trận
điều ước, thoả ước
trần, dương gian
đàn tì, đàn tỳ
tàu bè, tàu thuyền
tẹo, ti
hàng, quán
thang, chén
dạ, lòng
tri kỉ, tri kỷ
ca vát, cà vạt
phía, bên
bu, mệ
file, tập tin
ngụm, hụm
kên kên, kền kền
kỉ nguyên, kỷ nguyên
tê tê, trút
hạ, hè
ước muốn, ước vọng
cực điểm, đỉnh điểm
thị lực, nhãn lực
mùi, ngò
mẹ, bu
hòm, thùng
đống, lô
